home_rank,home_winning_rate,home_winning,away_rank,away_winning_rate,away_winning,temp,insolation,rain,holiday,event,time,target,year,month,MON,TUE,WEN,THUR,FRI,SAT,SUN,LG,DOOSAN,KIA,KT,NC,SSG,LOTTE,SAMSUNG,KIWOOM,HANHWA
3,0.564,-1,1,0.667,1,22.7,8.16,0,1,1,0,0.63,2022,6,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
6,0.491,-1,9,0.375,-2,20.6,17.34,0,0,0,1,0.198,2022,6,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,0.481,-2,9,0.386,1,21.2,16.97,0,0,0,1,0.206,2022,6,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
6,0.491,-3,9,0.379,-1,20.9,10.66,3,0,0,1,0.278,2022,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
3,0.569,1,6,0.482,-1,20.9,15.38,1,0,1,1,0.496,2022,6,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
3,0.559,-1,5,0.491,1,24.6,26.54,0,1,1,0,0.801,2022,6,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3,0.567,5,6,0.483,-1,24.6,24.52,0,1,1,0,0.641,2022,6,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3,0.574,1,6,0.475,-1,21.5,18.58,0,0,0,1,0.287,2022,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.565,1,6,0.484,1,17.5,5.62,19,0,0,1,0.266,2022,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
3,0.571,2,6,0.476,-1,20.3,13,1,0,0,1,0.378,2022,6,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
7,0.468,-1,5,0.492,1,22.5,17.86,0,0,0,1,0.206,2022,6,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
7,0.476,1,5,0.484,-1,23.3,6.07,0,1,0,0,0.38,2022,6,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
7,0.469,2,5,0.492,1,23.4,5.06,0,1,1,0,0.293,2022,6,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
3,0.582,2,10,0.333,-9,26.5,28.94,0,0,1,1,0.308,2022,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
3,0.588,-1,10,0.328,-10,25.9,22.39,0,0,1,1,0.345,2022,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6,0.463,-1,4,0.544,2,22.6,8.5,19,0,1,1,0.609,2022,6,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
7,0.456,-1,4,0.551,3,26,17.55,0,1,1,0,0.93,2022,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
7,0.464,-1,4,0.543,-1,26.5,3,0,1,1,0,0.686,2022,6,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3,0.597,-5,9,0.386,-4,26.9,3.33,6,0,0,1,0.142,2022,6,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
3,0.603,-2,7,0.451,-1,26.6,21.53,0,0,0,1,0.515,2022,7,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3,0.595,-3,7,0.458,1,28.8,25.83,0,1,1,1,0.789,2022,7,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
3,0.6,-4,7,0.452,-1,29.3,26.25,0,1,1,0,1,2022,7,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0
8,0.432,1,2,0.646,9,29.2,15.99,0,0,1,1,0.18,2022,7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
8,0.44,2,2,0.638,-1,29.5,14.49,16,0,0,1,0.123,2022,7,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
6,0.447,-2,2,0.63,-2,28.2,8.29,0,0,0,1,0.159,2022,7,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
6,0.442,-3,3,0.62,5,25.8,6.94,2,0,0,1,0.416,2022,7,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
6,0.436,5,3,0.625,6,26.9,13.64,0,1,0,1,0.675,2022,7,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0
7,0.43,-5,3,0.63,7,29.2,23.08,0,1,1,0,0.462,2022,7,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
3,0.622,9,5,0.519,4,26.8,11.82,0,0,0,1,0.611,2022,7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
3,0.627,1,5,0.512,-1,25.7,17.21,1,0,0,1,0.614,2022,7,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0
7,0.434,-2,1,0.69,7,25.1,13.54,5,0,1,1,0.262,2022,7,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
7,0.429,-3,1,0.694,8,25,8.82,1,1,1,0,0.262,2022,7,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
7,0.435,1,6,0.442,-4,28.9,22.31,0,0,0,1,0.247,2022,7,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,0.442,-1,7,0.437,-5,29.3,19.72,0,0,0,1,0.215,2022,7,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6,0.448,-1,7,0.432,-6,29.7,25.2,0,0,1,1,0.413,2022,7,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
3,0.6,-4,4,0.551,3,30.7,20.28,0,0,0,1,0.384,2022,7,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0
3,0.604,-5,4,0.544,-1,30.9,23.53,1,1,1,1,0.446,2022,7,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
6,0.456,1,9,0.409,-2,27.1,8.74,51,0,1,1,0.258,2022,8,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
6,0.451,2,9,0.415,1,28.9,22.24,0,0,0,1,0.313,2022,8,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
3,0.6,3,2,0.608,1,29.4,19.58,0,0,0,1,0.455,2022,8,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2,0.604,-1,3,0.602,-1,28.7,7.48,14,1,0,1,0.478,2022,8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0
2,0.608,-2,3,0.596,-2,28.9,9.26,1,1,1,0,0.438,2022,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0
6,0.453,-1,7,0.436,3,24.7,16.23,8,0,1,1,0.113,2022,8,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
6,0.448,-1,7,0.442,4,25,8.81,39,0,1,1,0.084,2022,8,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
6,0.454,-2,8,0.438,-1,27,24.86,0,0,1,1,0.155,2022,8,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0
6,0.449,1,1,0.693,1,25.8,5.06,4,1,1,1,0.28,2022,8,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
7,0.444,1,1,0.696,2,27.6,13.95,3,1,0,0,0.294,2022,8,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
2,0.61,-1,9,0.412,-3,26.7,23.34,0,0,0,1,0.407,2022,8,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
